GRCh38_ENSG00000243485	GRCh38_MIR1302-2HG	Gene Expression
GRCh38_ENSG00000237613	GRCh38_FAM138A	Gene Expression
GRCh38_ENSG00000186092	GRCh38_OR4F5	Gene Expression
GRCh38_ENSG00000238009	GRCh38_AL627309.1	Gene Expression
GRCh38_ENSG00000239945	GRCh38_AL627309.3	Gene Expression
GRCh38_ENSG00000239906	GRCh38_AL627309.2	Gene Expression
GRCh38_ENSG00000241599	GRCh38_AL627309.4	Gene Expression
GRCh38_ENSG00000236601	GRCh38_AL732372.1	Gene Expression
GRCh38_ENSG00000284733	GRCh38_OR4F29	Gene Expression
GRCh38_ENSG00000235146	GRCh38_AC114498.1	Gene Expression
GRCh38_ENSG00000284662	GRCh38_OR4F16	Gene Expression
GRCh38_ENSG00000229905	GRCh38_AL669831.2	Gene Expression
GRCh38_ENSG00000237491	GRCh38_AL669831.5	Gene Expression
GRCh38_ENSG00000177757	GRCh38_FAM87B	Gene Expression
GRCh38_ENSG00000225880	GRCh38_LINC00115	Gene Expression
GRCh38_ENSG00000230368	GRCh38_FAM41C	Gene Expression
GRCh38_ENSG00000272438	GRCh38_AL645608.7	Gene Expression
GRCh38_ENSG00000230699	GRCh38_AL645608.3	Gene Expression
GRCh38_ENSG00000241180	GRCh38_AL645608.5	Gene Expression
GRCh38_ENSG00000223764	GRCh38_AL645608.1	Gene Expression
GRCh38_ENSG00000187634	GRCh38_SAMD11	Gene Expression
GRCh38_ENSG00000188976	GRCh38_NOC2L	Gene Expression
GRCh38_ENSG00000187961	GRCh38_KLHL17	Gene Expression
GRCh38_ENSG00000187583	GRCh38_PLEKHN1	Gene Expression
GRCh38_ENSG00000187642	GRCh38_PERM1	Gene Expression
GRCh38_ENSG00000272512	GRCh38_AL645608.8	Gene Expression
GRCh38_ENSG00000188290	GRCh38_HES4	Gene Expression
GRCh38_ENSG00000187608	GRCh38_ISG15	Gene Expression
GRCh38_ENSG00000224969	GRCh38_AL645608.2	Gene Expression
GRCh38_ENSG00000188157	GRCh38_AGRN	Gene Expression
GRCh38_ENSG00000273443	GRCh38_AL645608.9	Gene Expression
GRCh38_ENSG00000237330	GRCh38_RNF223	Gene Expression
GRCh38_ENSG00000131591	GRCh38_C1orf159	Gene Expression
GRCh38_ENSG00000223823	GRCh38_LINC01342	Gene Expression
GRCh38_ENSG00000272141	GRCh38_AL390719.2	Gene Expression
GRCh38_ENSG00000205231	GRCh38_TTLL10-AS1	Gene Expression
GRCh38_ENSG00000162571	GRCh38_TTLL10	Gene Expression
GRCh38_ENSG00000186891	GRCh38_TNFRSF18	Gene Expression
